dbc,9784826,9487,542,853
dbd,9535129,7015,201,369
dbe,9835329,8702,214,352
dbf,9675933,9245,11,36
dbg,9931133,9480,8,29
dca,9879757,7755,5,8
dcb,9712998,9773,79,163
dcc,9835823,8417,120,298
dcd,9836007,10794,27,92
dce,9979492,8478,53,158
dcf,9602522,9956,97,139
dcg,9994422,6904,25,43
dda,9731610,8580,116,198
ddb,9973861,9296,5,7
ddc,9757253,8150,12,33
ddd,9699583,9344,78,146
dde,9949966,9692,365,1039
ddf,9904085,7522,19,38
ddg,9910405,9017,13,29
dea,9894195,7483,205,289
deb,9583491,9149,39,79
dec,9969900,9614,65,159
ded,9747573,10037,148,249
dee,9989802,8462,170,284
def,9913242,10905,27,75
deg,9762527,8347,6,19
dfa,9983015,9927,63,243
dfb,9631145,8692,90,173
dfc,9961528,8156,293,408
dfd,9831888,8114,5,5
dfe,9989253,7894,115,191
dff,9948205,9322,504,1018
dfg,9903983,9654,445,657
dga,9580728,9524,43,238
dgb,9979663,9631,197,368
dgc,9971369,8738,153,245
dgd,9360964,8008,316,582
dge,9941183,7969,218,465
dgf,9943293,8193,223,353
dgg,9948302,7657,87,204
eaa,9783300,8687,37,66
eab,9993417,9074,13,33
eac,9321174,9876,177,350
ead,9886524,9935,153,209
eae,9908560,9780,32,97
eaf,9722782,9172,78,269
eag,9900081,10174,161,243
eba,9974392,9081,31,55
ebb,9778570,9570,371,579
ebc,9815669,8249,14,37
ebd,9435887,10248,250,389
ebe,9827905,7067,358,789
ebf,9784666,7995,30,39
ebg,9938926,8820,194,425
eca,9894659,9475,139,299
ecb,9900793,6458,117,293
ecc,9969203,9304,143,274
ecd,9769447,9302,82,204
ece,9974303,7414,204,373
ecf,9915941,7778,476,1101
ecg,9987836,9877,11,31
eda,9686939,9406,26,107
edb,9819801,7579,27,62
edc,9918381,7856,205,333
edd,9999838,9609,42,157
ede,9885403,7700,351,498
edf,9477429,9589,7,21
edg,9901355,10545,73,139
eea,9454213,9167,73,250
eeb,9884748,7956,117,288
eec,9580978,7925,91,128
eed,9993797,8396,9,20
eee,9913846,8115,72,116
eef,9618636,9511,146,220
eeg,9980460,9441,98,256
efa,9774759,8273,268,486
efb,9560744,9170,9,23
efc,9901604,7582,19,70
efd,9963307,7756,67,130
efe,9866026,9164,59,188
eff,9676704,7621,11,38
efg,9796874,10280,128,331
ega,9874163,9115,54,114
egb,9957992,9365,78,155
egc,9939352,7862,175,317
egd,9934534,8433,166,238
ege,9846460,6746,113,156
egf,9700726,9996,70,130
egg,9916293,10076,129,304
faa,9997412,8241,70,123
fab,9925762,9220,37,64
fac,9946991,8866,131,261
fad,9689176,9723,313,578
fae,9700918,10431,146,321
faf,9979402,9074,9,31
fag,9991849,7286,147,250
fba,9998754,11086,144,411
fbb,9918404,8747,54,112
fbc,9839911,8535,152,261
fbd,9962912,8316,56,212
fbe,9756563,10015,23,74
fbf,9799840,8328,212,370
fbg,9536644,8488,5,15
fca,9614229,9823,260,456
fcb,9864744,10928,71,220
fcc,9906832,9398,29,118
fcd,9929219,7779,30,55
fce,9922811,8595,32,63
fcf,9857388,9982,7,18
fcg,9995356,8145,153,273
fda,9877531,9301,43,91
fdb,9900543,9387,102,294
fdc,9965308,10098,134,320
fdd,9905283,6466,207,368
fde,9805446,9668,227,385
fdf,9829494,8575,58,113
fdg,9920753,6858,5,12
fea,9898825,9599,41,72
feb,9902000,8710,178,343
fec,9974758,8885,23,62
fed,9991379,7843,93,211
fee,9956208,9081,187,341
fef,9991126,8739,130,234
feg,9947300,8199,352,567
ffa,9932431,8877,230,334
ffb,9767120,8668,151,273
ffc,9779781,8784,140,254
ffd,9971464,8982,177,311
ffe,9987683,8184,12,39
fff,9735559,9898,150,308
ffg,9983277,8635,25,68
fga,9998271,10326,5,5
fgb,9996410,8464,108,189
fgc,9816782,8546,168,350
fgd,9705727,8569,408,526
fge,9946865,10845,64,108
fgf,9728353,9764,69,190
fgg,9799917,9340,115,199
gaa,9889618,9443,35,98
gab,9717367,8337,116,260
gac,9787876,9691,5,7
gad,9935934,7962,156,311
gae,9340846,11734,205,411
gaf,9469303,8886,92,275
gag,9745040,8314,136,233
gba,9824018,9753,43,108
gbb,9999402,10080,131,275
gbc,9859360,7364,47,98
gbd,9752220,7155,108,198
gbe,9958455,10115,202,364
gbf,9877266,8981,112,259
gbg,9961945,8011,144,250
gca,9943406,7149,24,77
gcb,9913492,11584,492,1067
gcc,9794420,7632,93,190
gcd,9933410,9286,146,236
gce,9982953,8490,37,116
gcf,9949668,10041,105,260
gcg,9884275,8272,70,196
gda,9966232,8818,71,164
gdb,9956159,8799,54,158
gdc,9861430,8069,172,409
gdd,9832401,9618,18,49
gde,9967169,8836,28,94
gdf,9911259,9182,76,189
gdg,9833501,8604,89,232
gea,9934764,8025,22,90
geb,9998099,9390,167,261
gec,9809470,8896,76,113
ged,9845982,8313,310,487
gee,9914248,7865,32,78
gef,9873660,7572,5,10
geg,9731378,7606,139,236
gfa,9951371,9125,86,178
gfb,9972847,6776,113,253
gfc,9850791,8820,58,112
gfd,9952579,7908,110,174
gfe,9805677,9221,170,400
gff,9933997,8771,302,520
gfg,9871178,8581,24,69
gga,9792056,10625,126,225
ggb,9967116,9845,36,135
ggc,9474079,8508,263,473
ggd,9887263,9885,39,110
gge,9376050,9884,126,290
ggf,9813553,9721,341,515
ggg,9693563,8193,189,287
